Country,Population millions (2021),Surface area sq. km thousands (2018),Population density people per sq. km(2021),"Gross national income, Atlas method","Gross national income per capita, Atlas method",Purchasing power parity gross national income2021 (2021),Purchasing power parity gross national income2021 per capita (2021),Gross domestic product %growth(2021),Gross domestic product per capita%growth(2021)
Afghanistan,39.8,652.9,61,19.3,500,81.7,2100,-2.4,-4.6
Albania,2.8,28.8,103,17.2,6110,43.4,15430,8.5,9.6
Algeria,44.6,2381.7,19,163.1,3660,524.1,11750,3.8,2.1
American Samoa,0.1,0.2,276,..,..,..,..,3.9,4.1
Andorra,0.1,0.5,165,3.6,46040,..,..,8.9,8.8
Angola,33.9,1246.7,27,60.1,1770,205.7,6060,0.7,-2.5
Antigua and Barbuda,0.1,0.4,224,1.5,14900,1.9,19610,5.3,4.4
Argentina,45.8,2780.4,17,460.5,10050,1060.4,23150,10.3,9.2
Armenia,3,29.7,104,13.5,4560,42.2,14220,5.7,5.5
Aruba,0.1,0.2,596,2.5,23070,3.2,30330,-22.3,-22.7
Australia,25.7,7741.2,3,1461.1,56760,1423,55290,1.5,1.3
Austria,9,83.9,109,467.6,52210,522.8,58370,4.5,4
Azerbaijan,10.1,86.6,123,49.5,4880,156.8,15460,5.6,5.1
"Bahamas, The",0.4,13.9,40,10.8,27220,12.7,31870,13.7,12.7
Bahrain,1.7,0.8,2241,33.9,19930,69.3,40730,2.2,-0.5
Bangladesh,166.3,147.6,1278,435.5,2620,1157.7,6960,6.9,5.9
Barbados,0.3,0.4,669,4.8,16720,4.2,14530,1.4,1.3
Belarus,9.3,207.6,46,65,6950,194.9,20870,2.5,2.9
Belgium,11.6,30.5,383,585.3,50510,689,59460,6.2,5.8
Belize,0.4,23,18,1.7,4290,2.7,6600,9.8,7.8
Benin,12.5,114.8,110,17.1,1370,46.7,3750,6.6,3.8
Bermuda,0.1,4.3,1183,7.4,116540,5.6,87340,1.9,1.9
Bhutan,0.8,38.4,20,2.2,2840,8.1,10440,-10.1,-11.1
Bolivia,11.8,1098.6,11,39.8,3360,104.1,8800,6.1,4.7
Bosnia and Herzegovina,3.3,51.2,64,22.1,6770,54.5,16690,7.1,7.7
Botswana,2.4,581.7,4,16.6,6940,39.9,16650,11.4,9.2
Brazil,214,8515.8,26,1651.1,7720,3328.1,15550,4.6,3.9
Brunei Darussalam,0.4,5.8,84,13.8,31510,29.6,67580,-1.6,-2.5
Bulgaria,6.9,111,64,73.9,10720,179.4,26000,4.2,4.7
Burkina Faso,21.5,274.2,79,18.4,860,50.2,2330,6.9,4
Burundi,12.3,27.8,477,2.9,240,9.7,800,1.8,-1.2
Cambodia,16.9,181,96,26.2,1550,75.2,4430,3,1.6
Cameroon,27.2,475.4,58,43.3,1590,108.5,3990,3.5,0.9
Canada,38.2,9879.8,4,1847.8,48310,1977,51690,4.6,4
Cabo Verde,0.6,4,139,1.9,3330,3.9,6890,7,5.8
Cayman Islands,0.1,0.3,277,4.2,63370,3.5,53770,-5.7,-6.8
Central African Republic,4.9,623,8,2.6,530,5.4,1090,0.9,-1
Chad,16.9,1284,13,11.1,650,26,1540,-1.2,-4.1
Channel Islands,0.2,0.2,885,..,..,..,..,..,..
Chile,19.2,756.7,26,288.1,15000,526.7,27410,11.7,11.1
China,1412.4,9600,150,16789.2,11890,27070.1,19170,8.1,8
"Hong Kong SAR, China",7.4,1.1,7060,403.6,54450,524.1,70700,6.4,7.4
"Macao SAR, China",0.7,0,20012,30.3,46730,46.9,72260,18,16.4
Colombia,51.3,1141.8,46,315.7,6160,843.9,16460,10.6,9.7
Comoros,0.9,1.9,477,1.3,1460,2.9,3260,2.3,0.2
"Congo, Dem. Rep.",92.4,2344.9,41,53.3,580,108.5,1170,5.7,2.5
"Congo, Rep.",5.7,342,17,9.2,1630,16.1,2850,-3.5,-5.9
Costa Rica,5.1,51.1,101,63.3,12310,112,21800,7.6,6.6
Cote d'Ivoire,27.1,322.5,85,66.4,2450,155.8,5760,7,4.3
Croatia,3.9,88.1,69,66.9,17150,132.2,33900,10.4,14.7
Cuba,11.3,109.9,109,..,..,..,..,-10.9,-10.9
Curacao,0.2,0.4,343,2.6,16560,3.3,21480,-18.4,-17.1
Cyprus,1.2,9.3,132,25.3,28130,35.5,39410,5.5,-6.5
Czech Republic,10.7,78.9,139,257.6,24070,455.5,42560,3.3,3.3
Denmark,5.9,42.9,146,398.9,68110,390.8,66720,4.7,4.2
Djibouti,1,23.2,43,3.3,3300,5.8,5740,4.3,2.8
Dominica,0.1,0.8,96,0.6,7760,0.9,12010,6.5,6.3
Dominican Republic,11,48.7,227,90,8220,216.1,19730,12.3,11.2
Ecuador,17.9,256.4,72,106.1,5930,205.4,11480,4.2,2.8
"Egypt, Arab Rep.",104.3,1001.5,105,365.8,3510,1345.7,12910,3.3,1.4
El Salvador,6.5,21,315,27,4140,59.5,9120,10.8,10.3
Equatorial Guinea,1.4,28.1,52,8.4,5810,19.6,13520,-0.9,-4.1
Eritrea,..,117.6,36,..,..,..,..,..,..
Estonia,1.3,45.3,31,34.5,25970,55.3,41570,8.3,8.4
Eswatini,1.2,17.4,68,4.3,3680,10.4,8870,7.4,6.3
Ethiopia,117.9,1136.3,104,113.6,960,304.9,2590,5.6,3
Faroe Islands,0,1.4,35,..,..,..,..,..,..
Fiji,0.9,18.3,49,4.4,4860,10.3,11450,-4.1,-4.8
Finland,5.5,338.5,18,297.4,53660,310,55940,3.5,3.2
France,67.5,549.1,123,2961.9,43880,3499.8,51850,7,6.8
French Polynesia,0.3,4,80,..,..,..,..,-7.6,-8.1
Gabon,2.3,267.7,9,16.2,7100,33.2,14560,1.5,-0.9
"Gambia, The",2.5,11.3,246,2,800,5.9,2370,5.6,2.6
Georgia,3.7,69.7,65,17.6,4740,59.5,16060,10.4,10.8
Germany,83.1,357.6,238,4242.9,51040,4961,59680,2.9,2.9
Ghana,31.7,238.5,139,74.9,2360,191.1,6020,5.4,3.2
Greece,10.7,132,83,214.8,20140,335,31410,8.3,8.7
Greenland,0.1,410.5,0,..,..,..,..,0.4,0.1
Grenada,0.1,0.3,332,1.1,9630,1.8,15890,5.3,4.9
Guam,0.2,0.5,315,..,..,..,..,-11.9,-12.6
Guatemala,17.1,108.9,160,84.6,4940,163.9,9580,7.5,5.9
Guinea,13.5,245.9,55,13.6,1010,34.3,2540,3.1,0.3
Guinea-Bissau,2,36.1,72,1.6,780,4.2,2060,3.8,1.4
Guyana,0.8,215,4,7.4,9380,18.6,23480,19.9,19.4
Haiti,11.5,27.8,419,16.4,1420,36.1,3130,-1.8,-3
Honduras,10.1,112.5,90,25.5,2540,57.8,5740,12.5,10.8
Hungary,9.7,93,106,172.2,17740,346,35640,7.1,7.5
Iceland,0.4,103,4,24,64410,20.8,55920,3.7,2.1
India,1393.4,3287.3,469,3027.5,2170,10059.4,7220,8.9,7.9
Indonesia,276.4,1916.9,147,1143.1,4140,3471.2,12560,3.7,2.6
"Iran, Islamic Rep.",85,1745.2,52,282.9,3370,1323.4,15760,1.8,0.5
Iraq,41.2,435.1,95,207.3,5040,424.9,10320,2.8,0.4
Ireland,5,70.3,73,374.7,74520,399.5,79450,13.5,12.5
Isle of Man,0.1,0.6,150,7.1,83920,..,..,0.3,-0.4
Israel,9.4,22.1,433,464.1,49560,412.6,44060,8.2,6.5
Italy,59.1,302.1,198,2109.5,35710,2745.8,46490,6.6,7.3
Jamaica,3,11,275,14.3,4800,28.9,9720,4.6,4.2
Japan,125.7,378,345,5357,42620,5601.4,44570,1.6,2.1
Jordan,10.3,89.3,116,46,4480,111.9,10900,2.2,1.6
Kazakhstan,19,2724.9,7,165.8,8720,474.5,24970,4,2.6
Kenya,55,580.4,97,110.4,2010,272.1,4950,7.5,5.1
Kiribati,0.1,0.8,150,0.3,2910,0.5,4050,-0.5,-2.1
"Korea, Dem. People's Rep.",25.9,120.5,215,..,..,..,..,..,..
"Korea, Rep.",51.7,100.4,531,1809.8,34980,2457.4,47490,4,4.2
Kosovo,1.8,10.9,..,9,4970,23.5,13010,9.1,8.2
Kuwait,4.3,17.8,243,152.3,36200,248.4,59040,-8.9,-10.2
Kyrgyz Republic,6.7,200,35,7.9,1180,32.4,4840,3.6,1.8
Lao PDR,7.4,236.8,32,18.6,2520,60.1,8150,2.5,1.1
Latvia,1.9,64.6,30,36.5,19370,63.6,33790,4.5,5.4
Lebanon,6.8,10.5,662,23.4,3450,70.2,10360,-10.5,-9.8
Lesotho,2.2,30.4,71,2.7,1270,6.5,3030,1,0.2
Liberia,5.2,111.4,54,3.2,620,7.6,1460,4,1.5
Libya,7,1759.5,4,58.6,8430,163.9,23550,31.4,29.7
Liechtenstein,0,0.2,239,..,..,..,..,..,..
Lithuania,2.8,65.3,45,60.4,21610,115.3,41250,5,5
Luxembourg,0.6,2.6,263,51.1,81110,52.5,83230,6.9,5.4
Madagascar,28.4,587.3,49,14.2,500,45.5,1600,4.4,1.7
Malawi,19.6,118.5,208,12.3,630,32,1630,2.8,0
Malaysia,32.8,330.3,100,358.4,10930,941.7,28730,3.1,1.8
Maldives,0.5,0.3,1812,4.6,8400,9,16520,31,30.2
Mali,20.9,1240.2,17,18.2,870,49.5,2370,3.1,0.1
Malta,0.5,0.3,1615,15.8,30560,23,44550,9.4,9.1
Marshall Islands,0.1,0.2,331,0.3,5050,0.3,5120,-2.5,-3.2
Mauritania,4.8,1030.7,5,8.2,1730,26.4,5530,2.3,-0.4
Mauritius,1.3,2,624,13.7,10860,32.3,25530,4,4
Mexico,130.3,1964.4,67,1221.5,9380,2544.7,19540,4.8,3.7
"Micronesia, Fed. Sts.",0.1,0.7,166,0.5,3880,0.5,3900,-3.2,-4.2
Moldova,2.6,33.9,90,14,5460,41.4,16070,13.9,16
Monaco,0,0.1,19497,..,..,..,..,-11.8,-12.4
Mongolia,3.3,1564.1,2,12.5,3760,36.9,11090,1.4,-0.1
Montenegro,0.6,13.8,46,5.8,9300,14.4,23280,12.4,12.6
Morocco,37.3,446.6,84,127.2,3350,304.3,8020,7.4,-7.4
Mozambique,32.2,799.4,41,15.4,480,42.3,1310,2.2,-0.7
Myanmar,54.8,676.6,84,62.7,1140,231.8,4230,-18,-18.6
Namibia,2.6,824.3,3,11.8,4550,25,9650,2.4,0.6
Nauru,0,0,544,0.2,19470,0.3,25110,1.5,1.1
Nepal,29.7,147.2,207,36.6,1230,127.1,4280,4.2,2.4
Netherlands,17.5,41.5,521,988.3,56370,1111,63360,5,4.5
New Caledonia,0.3,18.6,15,..,..,..,..,..,..
New Zealand,5.1,267.7,19,232.3,45340,232.8,45440,4.6,4
Nicaragua,6.7,130.4,56,13.4,2010,40,5960,10.3,9.1
Niger,25.1,1267,20,14.8,590,33.4,1330,1.4,-2.4
Nigeria,211.4,923.8,232,444,2100,1109.7,5250,3.6,1.1
North Macedonia,2.1,25.7,82,12.7,6130,35.2,17060,4,4.3
Northern Mariana Islands,0.1,0.5,126,..,..,..,..,-11.1,-11.6
Norway,5.4,625.2,15,454.8,84090,448,82840,3.9,3.4
Oman,5.2,309.5,17,76.8,15030,147.3,28850,-3.2,-5.7
Pakistan,225.2,796.1,292,338.9,1500,1306,5800,6,4
Palau,0,0.5,40,0.3,14390,0.3,16620,-9.7,-10.2
Panama,4.4,75.3,59,61.4,14010,131,29900,15.3,13.6
Papua New Guinea,9.1,462.8,20,25.4,2790,39.5,4340,1.5,-0.4
Paraguay,7.2,406.8,18,38.5,5340,98.4,13630,4.2,2.9
Peru,33.4,1285.2,26,217.5,6520,430.3,12900,13.3,12
Philippines,111,300,372,404.2,3640,1048.9,9450,5.7,4.3
Poland,37.8,312.7,123,629.9,16670,1353.8,35830,5.7,6.1
Portugal,10.3,92.2,112,244.4,23730,365.4,35470,4.9,4.9
Puerto Rico,3.3,8.9,368,69.5,21160,76.7,23360,-3.9,-6.5
Qatar,2.9,11.5,255,167.4,57120,269.8,92080,1.5,-0.2
Romania,19.1,238.4,83,270.9,14170,665.5,34820,5.9,6.7
Russian Federation,143.4,17098.3,9,1692.6,11600,4668.8,32000,4.8,-2.8
Rwanda,13.3,26.3,538,11.3,850,32.4,2440,10.9,8.2
Samoa,0.2,2.8,71,0.8,3860,1.3,6300,-8.1,-8.9
San Marino,0,0.1,567,..,..,..,..,-6.6,-6.9
Sao Tome and Principe,0.2,1,233,0.5,2280,1,4490,1.8,-0.1
Saudi Arabia,35.3,2149.7,16,775.5,22270,1660.5,47700,3.2,1.7
Senegal,17.2,196.7,89,26.5,1540,63.4,3690,6.1,3.3
Serbia,6.8,88.4,78,57.7,8440,141.1,20610,7.4,8.3
Seychelles,0.1,0.5,216,1.3,13260,2.8,28050,1.8,1.1
Sierra Leone,8.1,72.3,113,4.2,510,14.3,1750,3.1,1
Singapore,5.5,0.7,7692,349.1,64010,558.7,102450,7.6,12.2
Sint Maarten (Dutch part),0,0,1260,..,..,..,..,..,..
Slovak Republic,5.4,49,113,110.3,20250,176.7,32450,3,3.2
Slovenia,2.1,20.5,105,59.5,28240,90.7,43060,8.1,7.9
Solomon Islands,0.7,28.9,25,1.6,2300,1.9,2680,-0.2,-2.6
Somalia,16.4,637.7,26,7.3,450,21.2,1300,3.3,0.4
South Africa,60,1219.1,49,386.9,6440,849.3,14140,4.9,3.6
South Sudan,11.4,633.9,18,..,..,..,..,..,..
Spain,47.3,506,95,1407.5,29740,1939.7,40980,5.1,5.2
Sri Lanka,22.2,65.6,358,84.6,3820,305.4,13790,3.7,2.5
St. Kitts and Nevis,0.1,0.3,206,1,18560,1.4,25900,-1,-1.7
St. Lucia,0.2,0.6,302,1.8,9680,2.5,13810,6.6,6.2
St. Martin (French part),0,0.1,785,..,..,..,..,..,..
St. Vincent and the Grenadines,0.1,0.4,285,0.9,8100,1.6,13950,0.7,0.4
Sudan,44.9,1854.1,24,29.9,670,179.7,4000,0.1,-5.9
Suriname,0.6,163.8,4,2.6,4440,8.5,14430,-3.5,-4.3
Sweden,10.4,447.4,26,613.4,58890,636.3,61090,4.8,4.2
Switzerland,8.7,41.3,220,785.9,90360,659.8,75860,3.7,3
Syrian Arab Republic,18.3,185.2,100,..,..,..,..,..,..
Tajikistan,9.7,141.4,70,11.2,1150,50.5,5180,9.2,6.8
Tanzania,61.5,947.3,69,67.8,1140,174.5,2920,4.3,-1
Thailand,70,513.1,137,507.6,7260,1296.4,18530,1.6,1.3
Timor-Leste,1.3,14.9,90,2.6,1940,7.2,5360,4.4,2.4
Togo,8.5,56.8,156,8.3,980,20.2,2390,5.3,2.8
Tonga,0.1,0.8,148,0.5,5190,0.8,7260,0.7,-0.5
Trinidad and Tobago,1.4,5.1,274,21.2,15070,36,25670,-1,-1.3
Tunisia,11.9,163.6,77,43.3,3630,134.5,11270,3.3,2.3
Turkiye,85,785.4,110,836.3,9830,2553.2,30020,11,10.1
Turkmenistan,6.1,488.1,13,42.9,7220,92.7,15600,6.3,4.7
Turks and Caicos Islands,0,1,41,0.9,23600,0.9,22660,2.1,0.8
Tuvalu,0,0,398,0.1,6760,0.1,6770,3,1.8
Uganda,47.1,241.6,235,39.5,840,111.1,2360,3.4,0.3
Ukraine,43.8,603.6,76,170.7,4120,573.5,13860,3.4,-3.4
United Arab Emirates,10,98.6,141,389.8,39410,659.5,66680,-6.1,-7.3
United Kingdom,67.3,243.6,278,3055.3,45380,3327,49420,7.4,7
United States,331.9,9831.5,36,23374.7,70430,23393.1,70480,5.7,5.5
Uruguay,3.5,176.2,20,55.1,15800,78.6,22540,4.4,4
Uzbekistan,34.9,448.9,79,68.6,1960,297.6,8520,7.4,5.3
Vanuatu,0.3,12.2,26,1,3140,1,3220,0.5,-1.8
"Venezuela, RB",28.7,912.1,33,..,..,..,..,..,..
Vietnam,98.2,331.2,317,349.3,3560,1084.2,11040,2.6,1.7
Virgin Islands (U.S.),0.1,0.4,302,..,..,..,..,-2.1,-1.8
West Bank and Gaza,4.9,6,818,20.8,4220,36.3,7370,7.1,4.5
"Yemen, Rep.",30.5,528,58,19.8,670,..,..,-2.1,-4.2
Zambia,18.9,752.6,25,19.6,1040,62.4,3300,3.6,0.6
Zimbabwe,15.1,390.8,39,21.2,1400,56.5,3740,5.8,4.2
World,7836.6,134542.7,60,94585,12070,145976.2,18627,5.8,4.8
East Asia & Pacific,2368.6,24868.2,97,30176.3,12740,47833.8,20195,5.8,5.4
Europe & Central Asia,923.8,28724.8,34,24406.5,26421,35709,38656,5.8,5.7
Latin America & Caribbean,658.1,20426,33,5280.4,8024,10946.1,16633,6.8,5.8
Middle East & North Africa,472.5,11385.6,42,3274.5,7049,7684.4,16542,4.3,2.6
North America,370.2,19715.6,20,25230,68152,25375.7,68545,5.6,5.4
South Asia,1877.9,5135.3,394,3951.8,2104,13065.8,6958,8.3,7.1
Sub-Saharan Africa,1165.6,24287.4,49,1839.2,1578,4674.3,4010,4.1,1.5
Low income,701.9,15986.6,45,506.5,722,1498.5,2135,3,0.3
Lower middle income,3363.2,25638.2,135,8357.4,2485,26603.7,7910,5.6,4.2
Upper middle income,2501.4,54597.4,47,25922.5,10363,49082.3,19622,7.4,7
High income,1241.4,37408.5,35,59466.3,47904,68357.5,55066,5.1,5
